year,metric,index_2019_100
2019,Exports,100.0
2019,Enrolments,100.0
2019,Commencements,100.0
2020,Exports,77.2
2020,Enrolments,92.2
2020,Commencements,76.4
2021,Exports,50.7
2021,Enrolments,73.9
2021,Commencements,53.4
2022,Exports,61.8
2022,Enrolments,72.3
2022,Commencements,70.2
2023,Exports,107.4
2023,Enrolments,93.2
2023,Commencements,101.2
2024,Exports,120.6
2024,Enrolments,106.8
2024,Commencements,106.8
2025,Exports,131.6
2025,Enrolments,104.9
2025,Commencements,91.3
2019,Visa lodgements,100.0
2020,Visa lodgements,85.3
2021,Visa lodgements,30.7
2022,Visa lodgements,77.3
2023,Visa lodgements,112.9
2024,Visa lodgements,96.9
2025,Visa lodgements,60.7
2026,Visa lodgements,63.8
