nationality,rank_2025,enrolments_2025,rank_change_from_2024,rank_2024,share_of_top10_percent,cumulative_enrolments,cumulative_percent_of_top10
India,1,78400,0,1,31.347461015593765,78400,31.347461015593765
China,2,67100,0,2,26.82926829268293,145500,58.176729308276684
Vietnam,3,18300,0,3,7.317073170731707,163800,65.4938024790084
Sri Lanka,4,17300,1,5,6.917233106757297,181100,72.41103558576569
Nepal,5,14100,2,7,5.637744902039184,195200,78.04878048780488
Colombia,6,13400,-2,4,5.357856857257097,208600,83.40663734506197
Philippines,7,12700,-1,6,5.07796881247501,221300,88.48460615753699
Thailand,8,9900,0,8,3.958416633346661,231200,92.44302279088365
Indonesia,9,9600,2,11,3.838464614154338,240800,96.28148740503798
Pakistan,10,9300,-1,9,3.7185125949620152,250100,100.0
